Type,Question,Answer
Formal,What is the full form of KCET?,Kamaraj College of Engineering and Technology.
Formal,Where is KCET located?,"KCET is located in Virudhunagar, Tamil Nadu, India."
Formal,Is KCET an autonomous institution?,"Yes, KCET is an autonomous institution."
Formal,Which university is KCET affiliated to?,"Anna University, Chennai."
Formal,Is KCET accredited by NAAC?,"Yes, KCET is accredited with an 'A' grade by NAAC."
Formal,Is KCET NBA accredited?,"Yes, several departments at KCET are NBA accredited."
Formal,What are the popular courses offered at KCET?,"KCET offers B.E., B.Tech, M.E., and Ph.D. programs."
Formal,Does KCET have hostel facilities?,"Yes, separate hostel facilities are available for boys and girls."
Formal,Does KCET offer placement assistance?,"Yes, KCET has a dedicated placement cell."
Formal,Who is the principal of KCET?,Dr. K. Shanmuganathan is the principal of KCET.
Funny,Which spot in KCET is best for pretending to study?,"The library – quiet enough to sleep, serious enough to fool anyone."
Funny,What’s the unofficial dress code on a rainy day?,Carry an umbrella and act like it's a fashion accessory.
Funny,Which food in the canteen is the secret best seller?,Samosa – it disappears faster than attendance in 8AM classes.
Funny,Which department drinks the most coffee?,Probably CSE – they code day and night!
Funny,Which is the best place in KCET to cry after an exam?,"Behind the admin block – peace, privacy, and pigeons."
Funny,What’s the biggest mystery in KCET?,Why Wi-Fi works only when you're not submitting assignments.
Funny,Who wins the ‘always late to class’ award?,It’s a tie between final year students and faculty from the ground floor.
Funny,What’s the KCET version of ‘Netflix and chill’?,Canteen bench and chai.
Funny,What’s the best excuse to bunk class?,‘Group project discussion’ – even works for solo projects!
Funny,What’s a fresher’s biggest fear?,Seniors asking them to sing in front of the whole class.
Formal,Sample Formal question 20,Sample answer for question 20
Funny,Sample Funny question 21,Sample answer for question 21
Formal,Sample Formal question 22,Sample answer for question 22
Funny,Sample Funny question 23,Sample answer for question 23
Formal,Sample Formal question 24,Sample answer for question 24
Funny,Sample Funny question 25,Sample answer for question 25
Formal,Sample Formal question 26,Sample answer for question 26
Funny,Sample Funny question 27,Sample answer for question 27
Formal,Sample Formal question 28,Sample answer for question 28
Funny,Sample Funny question 29,Sample answer for question 29
Formal,Sample Formal question 30,Sample answer for question 30
Funny,Sample Funny question 31,Sample answer for question 31
Formal,Sample Formal question 32,Sample answer for question 32
Funny,Sample Funny question 33,Sample answer for question 33
Formal,Sample Formal question 34,Sample answer for question 34
Funny,Sample Funny question 35,Sample answer for question 35
Formal,Sample Formal question 36,Sample answer for question 36
Funny,Sample Funny question 37,Sample answer for question 37
Formal,Sample Formal question 38,Sample answer for question 38
Funny,Sample Funny question 39,Sample answer for question 39
Formal,Sample Formal question 40,Sample answer for question 40
Funny,Sample Funny question 41,Sample answer for question 41
Formal,Sample Formal question 42,Sample answer for question 42
Funny,Sample Funny question 43,Sample answer for question 43
Formal,Sample Formal question 44,Sample answer for question 44
Funny,Sample Funny question 45,Sample answer for question 45
Formal,Sample Formal question 46,Sample answer for question 46
Funny,Sample Funny question 47,Sample answer for question 47
Formal,Sample Formal question 48,Sample answer for question 48
Funny,Sample Funny question 49,Sample answer for question 49
Formal,Sample Formal question 50,Sample answer for question 50
Funny,Sample Funny question 51,Sample answer for question 51
Formal,Sample Formal question 52,Sample answer for question 52
Funny,Sample Funny question 53,Sample answer for question 53
Formal,Sample Formal question 54,Sample answer for question 54
Funny,Sample Funny question 55,Sample answer for question 55
Formal,Sample Formal question 56,Sample answer for question 56
Funny,Sample Funny question 57,Sample answer for question 57
Formal,Sample Formal question 58,Sample answer for question 58
Funny,Sample Funny question 59,Sample answer for question 59
Formal,Sample Formal question 60,Sample answer for question 60
Funny,Sample Funny question 61,Sample answer for question 61
Formal,Sample Formal question 62,Sample answer for question 62
Funny,Sample Funny question 63,Sample answer for question 63
Formal,Sample Formal question 64,Sample answer for question 64
Funny,Sample Funny question 65,Sample answer for question 65
Formal,Sample Formal question 66,Sample answer for question 66
Funny,Sample Funny question 67,Sample answer for question 67
Formal,Sample Formal question 68,Sample answer for question 68
Funny,Sample Funny question 69,Sample answer for question 69
Formal,Sample Formal question 70,Sample answer for question 70
Funny,Sample Funny question 71,Sample answer for question 71
Formal,Sample Formal question 72,Sample answer for question 72
Funny,Sample Funny question 73,Sample answer for question 73
Formal,Sample Formal question 74,Sample answer for question 74
Funny,Sample Funny question 75,Sample answer for question 75
Formal,Sample Formal question 76,Sample answer for question 76
Funny,Sample Funny question 77,Sample answer for question 77
Formal,Sample Formal question 78,Sample answer for question 78
Funny,Sample Funny question 79,Sample answer for question 79
Formal,Sample Formal question 80,Sample answer for question 80
Funny,Sample Funny question 81,Sample answer for question 81
Formal,Sample Formal question 82,Sample answer for question 82
Funny,Sample Funny question 83,Sample answer for question 83
Formal,Sample Formal question 84,Sample answer for question 84
Funny,Sample Funny question 85,Sample answer for question 85
Formal,Sample Formal question 86,Sample answer for question 86
Funny,Sample Funny question 87,Sample answer for question 87
Formal,Sample Formal question 88,Sample answer for question 88
Funny,Sample Funny question 89,Sample answer for question 89
Formal,Sample Formal question 90,Sample answer for question 90
Funny,Sample Funny question 91,Sample answer for question 91
Formal,Sample Formal question 92,Sample answer for question 92
Funny,Sample Funny question 93,Sample answer for question 93
Formal,Sample Formal question 94,Sample answer for question 94
Funny,Sample Funny question 95,Sample answer for question 95
Formal,Sample Formal question 96,Sample answer for question 96
Funny,Sample Funny question 97,Sample answer for question 97
Formal,Sample Formal question 98,Sample answer for question 98
Funny,Sample Funny question 99,Sample answer for question 99
Formal,Sample Formal question 100,Sample answer for question 100
